item,QS_World_University_ID,GRID_ID
http://www.wikidata.org/entity/Q1155944,universite-paris-descartes,grid.10992.33
http://www.wikidata.org/entity/Q1191166,university-hyderabad,grid.18048.35
http://www.wikidata.org/entity/Q1243904,universidad-de-alcala,grid.7159.a
http://www.wikidata.org/entity/Q1249005,university-dundee,grid.8241.f
http://www.wikidata.org/entity/Q1258413,universidad-de-antioquia,grid.412881.6
http://www.wikidata.org/entity/Q1334582,universite-de-liege,grid.4861.b
http://www.wikidata.org/entity/Q1350021,university-wollongong,grid.1007.6
http://www.wikidata.org/entity/Q1375146,murdoch-university,grid.1025.6
http://www.wikidata.org/entity/Q1430954,saint-joseph-university-beirut-usj,grid.42271.32
http://www.wikidata.org/entity/Q1432632,university-reading,grid.9435.b
http://www.wikidata.org/entity/Q1444125,universiti-kebangsaan-malaysia-ukm,grid.412113.4
http://www.wikidata.org/entity/Q1480643,universite-paris-sud,grid.5842.b
http://www.wikidata.org/entity/Q1506552,ural-federal-university-urfu,grid.412761.7
http://www.wikidata.org/entity/Q1517478,pontificia-universidad-javeriana,grid.41312.35
http://www.wikidata.org/entity/Q1537436,pontificia-universidad-catolica-del-ecuador-puce,grid.412527.7
http://www.wikidata.org/entity/Q1541161,lingnan-university-hong-kong,grid.411382.d
http://www.wikidata.org/entity/Q1707779,university-bahrain,grid.413060.0
http://www.wikidata.org/entity/Q1859178,university-strathclyde,grid.11984.35
http://www.wikidata.org/entity/Q1887879,university-san-francisco,grid.267103.1
http://www.wikidata.org/entity/Q1895354,memorial-university-newfoundland,grid.25055.37
http://www.wikidata.org/entity/Q1961570,university-engineering-technology-uet-lahore,grid.444938.6
http://www.wikidata.org/entity/Q2001798,shiraz-university,grid.412573.6
http://www.wikidata.org/entity/Q2002619,nottingham-trent-university,grid.12361.37
http://www.wikidata.org/entity/Q2047109,quaid-i-azam-university,grid.412621.2
http://www.wikidata.org/entity/Q2166335,university-southern-denmark,grid.10825.3e
http://www.wikidata.org/entity/Q2503809,kingston-university-london,grid.15538.3a
http://www.wikidata.org/entity/Q2648311,birla-institute-technology-science-pilani,grid.418391.6
http://www.wikidata.org/entity/Q2919325,jordan-university-science-technology,grid.37553.37
http://www.wikidata.org/entity/Q3056813,university-brighton,grid.12477.37
http://www.wikidata.org/entity/Q3098071,dublin-institute-technology,grid.33695.3a
http://www.wikidata.org/entity/Q3117949,universidad-del-valle,grid.8271.c
http://www.wikidata.org/entity/Q3518863,indian-institute-technology-guwahati-iitg,grid.417972.e
http://www.wikidata.org/entity/Q7125592,pakistan-institute-engineering-applied-sciences-pieas,grid.420112.4
http://www.wikidata.org/entity/Q4182,weizmann-institute-science,grid.13992.30
http://www.wikidata.org/entity/Q10159,ecole-normale-superieure-de-lyon,grid.15140.31
http://www.wikidata.org/entity/Q13344,university-bordeaux,grid.412041.2
http://www.wikidata.org/entity/Q13371,harvard-university,grid.38142.3c
http://www.wikidata.org/entity/Q21578,princeton-university,grid.16750.35
http://www.wikidata.org/entity/Q28695,university-helsinki,grid.7737.4
http://www.wikidata.org/entity/Q31519,charles-university,grid.4491.8
http://www.wikidata.org/entity/Q41506,stanford-university,grid.168010.e
http://www.wikidata.org/entity/Q43452,universitat-autonoma-de-barcelona,grid.7080.f
http://www.wikidata.org/entity/Q49088,columbia-university,grid.21729.3f
http://www.wikidata.org/entity/Q49112,yale-university,grid.47100.32
http://www.wikidata.org/entity/Q49115,cornell-university,grid.5386.8
http://www.wikidata.org/entity/Q49118,boston-college,grid.208226.c
http://www.wikidata.org/entity/Q49119,brandeis-university,grid.253264.4
http://www.wikidata.org/entity/Q84151,taras-shevchenko-national-university-kyiv,grid.34555.32
http://www.wikidata.org/entity/Q122453,universitat-stuttgart,grid.5719.a
http://www.wikidata.org/entity/Q129421,university-california-davis,grid.27860.3b
http://www.wikidata.org/entity/Q156725,universitat-hamburg,grid.9026.d
http://www.wikidata.org/entity/Q159102,universidade-federal-da-bahia,grid.8399.b
http://www.wikidata.org/entity/Q161982,johannes-gutenberg-universitat-mainz,grid.5802.f
http://www.wikidata.org/entity/Q168751,duke-university,grid.26009.3d
http://www.wikidata.org/entity/Q168756,university-california-berkeley-ucb,grid.47840.3f
http://www.wikidata.org/entity/Q174158,hebrew-university-jerusalem,grid.9619.7
http://www.wikidata.org/entity/Q178848,university-notre-dame,grid.131063.6
http://www.wikidata.org/entity/Q185246,uppsala-university,grid.8993.b
http://www.wikidata.org/entity/Q190080,carnegie-mellon-university,grid.147455.6
http://www.wikidata.org/entity/Q193196,ucl-university-college-london,grid.83440.3b
http://www.wikidata.org/entity/Q193727,johns-hopkins-university,grid.21107.35
http://www.wikidata.org/entity/Q194445,cairo-university,grid.7776.1
http://www.wikidata.org/entity/Q199948,universidad-de-concepcion,grid.5380.e
http://www.wikidata.org/entity/Q201603,simon-fraser-university,grid.61971.38
http://www.wikidata.org/entity/Q208736,hufs-hankuk-korea-university-foreign-studies,grid.440932.8
http://www.wikidata.org/entity/Q219563,university-washington,grid.34477.33
http://www.wikidata.org/entity/Q219564,karolinska-institutet,grid.4714.6
http://www.wikidata.org/entity/Q219694,complutense-university-madrid,grid.4795.f
http://www.wikidata.org/entity/Q229022,universita-cattolica-del-sacro-cuore,grid.8142.f
