item,Times_Higher_Education_World_University_ID,GRID_ID
http://www.wikidata.org/entity/Q209344,sapienza-university-rome,grid.7841.a
http://www.wikidata.org/entity/Q219564,karolinska-institute,grid.4714.6
http://www.wikidata.org/entity/Q223429,university-birmingham,grid.6572.6
http://www.wikidata.org/entity/Q258464,trinity-college-dublin,grid.8217.c
http://www.wikidata.org/entity/Q270222,michigan-state-university,grid.17088.36
http://www.wikidata.org/entity/Q281155,gebze-technical-university,grid.448834.7
http://www.wikidata.org/entity/Q283032,pondicherry-university,grid.412517.4
http://www.wikidata.org/entity/Q309331,ohio-state-university,grid.261331.4
http://www.wikidata.org/entity/Q309350,northwestern-university,grid.16753.36
http://www.wikidata.org/entity/Q309988,karlsruhe-institute-technology,grid.7892.4
http://www.wikidata.org/entity/Q333705,technion-israel-institute-technology,grid.6451.6
http://www.wikidata.org/entity/Q333886,georgetown-university,grid.213910.8
http://www.wikidata.org/entity/Q400422,national-research-saratov-state-university,grid.446088.6
http://www.wikidata.org/entity/Q450587,alzahra-university,grid.411354.6
http://www.wikidata.org/entity/Q476521,king-mongkuts-university-technology-thonburi,grid.412151.2
http://www.wikidata.org/entity/Q498407,university-latvia,grid.9845.0
http://www.wikidata.org/entity/Q503419,university-arizona,grid.134563.6
http://www.wikidata.org/entity/Q574606,universite-libre-de-bruxelles,grid.4989.c
http://www.wikidata.org/entity/Q587326,tokyo-institute-technology,grid.32197.3e
http://www.wikidata.org/entity/Q595668,tilburg-university,grid.12295.3d
http://www.wikidata.org/entity/Q598841,monash-university,grid.1002.3
http://www.wikidata.org/entity/Q603034,drexel-university,grid.166341.7
http://www.wikidata.org/entity/Q621043,emory-university,grid.189967.8
http://www.wikidata.org/entity/Q625158,kaunas-university-technology,grid.6901.e
http://www.wikidata.org/entity/Q632004,radboud-university-nijmegen,grid.5590.9
http://www.wikidata.org/entity/Q640694,university-alberta,grid.17089.37
http://www.wikidata.org/entity/Q670897,arizona-state-university,grid.215654.1
http://www.wikidata.org/entity/Q697289,national-university-tainan,grid.412120.4
http://www.wikidata.org/entity/Q706177,china-medical-university-taiwan,grid.254145.3
http://www.wikidata.org/entity/Q718328,national-yang-ming-university,grid.260770.4
http://www.wikidata.org/entity/Q721064,nanyang-technological-university-singapore,grid.59025.3b
http://www.wikidata.org/entity/Q739627,pennsylvania-state-university,grid.29857.31
http://www.wikidata.org/entity/Q752663,delft-university-technology,grid.5292.c
http://www.wikidata.org/entity/Q787360,city-university-hong-kong,grid.35030.35
http://www.wikidata.org/entity/Q834857,chongqing-university,grid.190737.b
http://www.wikidata.org/entity/Q836805,chalmers-university-technology,grid.5371.0
http://www.wikidata.org/entity/Q846725,university-beira-interior,grid.7427.6
http://www.wikidata.org/entity/Q861548,florida-state-university,grid.255986.5
http://www.wikidata.org/entity/Q896267,bogazici-university,grid.11220.30
http://www.wikidata.org/entity/Q945876,grenoble-alpes-university,grid.411819.4
http://www.wikidata.org/entity/Q952960,national-polytechnic-university-ipn,grid.26194.38
http://www.wikidata.org/entity/Q985755,huaqiao-university,grid.411404.4
